year,level_norm,city
1984,0.0,Key West
1985,3.4,Key West
1986,39.0,Key West
1987,13.4,Key West
1988,-5.4,Key West
1989,-22.4,Key West
1990,-5.6,Key West
1991,59.0,Key West
1992,42.8,Key West
1993,34.6,Key West
1994,35.5,Key West
1995,61.1,Key West
1996,-20.1,Key West
1997,22.2,Key West
1998,17.7,Key West
1999,70.9,Key West
2000,49.6,Key West
2001,11.5,Key West
2002,45.3,Key West
2003,30.3,Key West
2004,27.8,Key West
2005,55.1,Key West
2006,37.8,Key West
2007,70.5,Key West
2008,73.7,Key West
2009,66.1,Key West
2010,59.8,Key West
2011,55.0,Key West
2012,99.4,Key West
2013,109.8,Key West
2014,123.8,Key West
