year,level_norm,city
1984,0.0,Kushiro
1985,-4.6,Kushiro
1986,16.6,Kushiro
1987,14.3,Kushiro
1988,4.7,Kushiro
1989,8.8,Kushiro
1990,11.4,Kushiro
1991,45.9,Kushiro
1992,50.2,Kushiro
1993,105.5,Kushiro
1994,122.9,Kushiro
1995,157.2,Kushiro
1996,141.5,Kushiro
1997,167.0,Kushiro
1998,144.0,Kushiro
1999,171.5,Kushiro
2000,196.9,Kushiro
2001,171.0,Kushiro
2002,199.5,Kushiro
2003,176.9,Kushiro
2004,206.4,Kushiro
2005,221.1,Kushiro
2006,193.4,Kushiro
2007,191.0,Kushiro
2008,174.6,Kushiro
2009,196.1,Kushiro
2010,210.9,Kushiro
2011,196.8,Kushiro
2012,194.2,Kushiro
2013,222.3,Kushiro
2014,230.6,Kushiro
