year,level_norm,city
1984,0.0,Kwajalein
1985,-48.5,Kwajalein
1986,-52.2,Kwajalein
1987,-85.2,Kwajalein
1988,3.1,Kwajalein
1989,-18.0,Kwajalein
1990,-26.0,Kwajalein
1991,-103.9,Kwajalein
1992,-68.0,Kwajalein
1993,-47.3,Kwajalein
1994,-42.3,Kwajalein
1995,-12.6,Kwajalein
1996,25.3,Kwajalein
1997,-109.5,Kwajalein
1998,-9.7,Kwajalein
1999,31.1,Kwajalein
2000,47.4,Kwajalein
2001,27.6,Kwajalein
2002,-50.2,Kwajalein
2003,24.2,Kwajalein
2004,21.8,Kwajalein
2005,40.7,Kwajalein
2006,38.8,Kwajalein
2007,128.9,Kwajalein
2008,116.4,Kwajalein
2009,52.4,Kwajalein
2010,131.4,Kwajalein
2011,133.3,Kwajalein
2012,160.8,Kwajalein
2013,127.3,Kwajalein
2014,70.3,Kwajalein
