year,level_norm,city
1984,0.0,La Jolla
1985,-40.3,La Jolla
1986,-23.2,La Jolla
1987,-4.9,La Jolla
1988,-43.7,La Jolla
1989,-29.0,La Jolla
1990,16.3,La Jolla
1991,7.8,La Jolla
1992,53.7,La Jolla
1993,23.5,La Jolla
1994,-25.2,La Jolla
1995,-13.4,La Jolla
1996,-21.5,La Jolla
1997,83.3,La Jolla
1998,22.3,La Jolla
1999,-50.4,La Jolla
2000,-28.4,La Jolla
2001,-31.6,La Jolla
2002,-24.3,La Jolla
2003,-1.1,La Jolla
2004,20.5,La Jolla
2005,14.6,La Jolla
2006,-5.3,La Jolla
2008,-1.4,La Jolla
2009,10.9,La Jolla
2010,-4.7,La Jolla
2011,15.1,La Jolla
2012,44.8,La Jolla
2013,29.8,La Jolla
2014,113.2,La Jolla
