year,level_norm,city
1984,0.0,La Libertad
1985,-12.6,La Libertad
1986,38.6,La Libertad
1987,99.8,La Libertad
1988,-4.2,La Libertad
1989,34.6,La Libertad
1990,9.4,La Libertad
1991,57.3,La Libertad
1992,94.2,La Libertad
1993,74.2,La Libertad
1994,63.8,La Libertad
1995,-3.4,La Libertad
1996,-26.9,La Libertad
1997,182.9,La Libertad
1998,108.4,La Libertad
1999,-23.5,La Libertad
2000,-2.4,La Libertad
2001,-23.4,La Libertad
2002,39.9,La Libertad
2003,33.7,La Libertad
2004,36.6,La Libertad
2005,48.7,La Libertad
2006,98.9,La Libertad
2007,35.6,La Libertad
2008,97.2,La Libertad
2009,84.9,La Libertad
2010,54.0,La Libertad
2011,53.9,La Libertad
2012,81.7,La Libertad
2013,76.8,La Libertad
2014,122.5,La Libertad
