year,level_norm,city
1984,0.0,Lime Tree Bay (St. Croix)
1985,5.6,Lime Tree Bay (St. Croix)
1986,12.2,Lime Tree Bay (St. Croix)
1987,1.1,Lime Tree Bay (St. Croix)
1988,-34.8,Lime Tree Bay (St. Croix)
1989,-49.0,Lime Tree Bay (St. Croix)
1990,-47.5,Lime Tree Bay (St. Croix)
1991,-28.2,Lime Tree Bay (St. Croix)
1992,15.7,Lime Tree Bay (St. Croix)
1993,-1.8,Lime Tree Bay (St. Croix)
1994,27.9,Lime Tree Bay (St. Croix)
1995,-5.2,Lime Tree Bay (St. Croix)
1996,-0.5,Lime Tree Bay (St. Croix)
1997,37.0,Lime Tree Bay (St. Croix)
1998,49.4,Lime Tree Bay (St. Croix)
1999,-17.3,Lime Tree Bay (St. Croix)
2000,-13.7,Lime Tree Bay (St. Croix)
2001,48.3,Lime Tree Bay (St. Croix)
2002,20.8,Lime Tree Bay (St. Croix)
2003,51.5,Lime Tree Bay (St. Croix)
2004,24.8,Lime Tree Bay (St. Croix)
2005,47.3,Lime Tree Bay (St. Croix)
2006,49.5,Lime Tree Bay (St. Croix)
2007,55.8,Lime Tree Bay (St. Croix)
2008,43.5,Lime Tree Bay (St. Croix)
2009,-7.9,Lime Tree Bay (St. Croix)
2010,84.2,Lime Tree Bay (St. Croix)
2011,53.5,Lime Tree Bay (St. Croix)
2012,86.8,Lime Tree Bay (St. Croix)
2013,55.8,Lime Tree Bay (St. Croix)
2014,75.5,Lime Tree Bay (St. Croix)
