year,level_norm,city
1984,0.0,Los Angeles
1985,-48.8,Los Angeles
1986,-32.3,Los Angeles
1987,-17.5,Los Angeles
1988,-77.9,Los Angeles
1989,-66.0,Los Angeles
1990,-31.1,Los Angeles
1991,-25.4,Los Angeles
1992,43.0,Los Angeles
1993,28.2,Los Angeles
1994,-5.4,Los Angeles
1995,-12.9,Los Angeles
1996,-32.6,Los Angeles
1997,62.3,Los Angeles
1998,6.8,Los Angeles
1999,-64.5,Los Angeles
2000,-44.7,Los Angeles
2001,-30.3,Los Angeles
2002,-26.8,Los Angeles
2003,-12.2,Los Angeles
2004,2.5,Los Angeles
2005,-3.7,Los Angeles
2006,-4.7,Los Angeles
2007,-39.5,Los Angeles
2008,0.2,Los Angeles
2009,11.0,Los Angeles
2010,-11.0,Los Angeles
2011,-17.5,Los Angeles
2012,2.2,Los Angeles
2013,-2.4,Los Angeles
2014,65.0,Los Angeles
