year,level_norm,city
1984,0.0,Magueyes Is.
1985,29.3,Magueyes Is.
1986,21.8,Magueyes Is.
1987,-1.9,Magueyes Is.
1988,-11.5,Magueyes Is.
1989,-16.9,Magueyes Is.
1990,-10.0,Magueyes Is.
1991,22.4,Magueyes Is.
1992,14.1,Magueyes Is.
1993,8.1,Magueyes Is.
1994,36.3,Magueyes Is.
1995,-6.0,Magueyes Is.
1996,-6.7,Magueyes Is.
1997,15.0,Magueyes Is.
1998,46.7,Magueyes Is.
1999,-9.2,Magueyes Is.
2000,-4.7,Magueyes Is.
2001,51.5,Magueyes Is.
2002,22.7,Magueyes Is.
2003,53.6,Magueyes Is.
2004,17.5,Magueyes Is.
2005,29.6,Magueyes Is.
2006,41.0,Magueyes Is.
2007,56.8,Magueyes Is.
2008,55.7,Magueyes Is.
2009,7.0,Magueyes Is.
2010,60.4,Magueyes Is.
2011,44.9,Magueyes Is.
2012,91.9,Magueyes Is.
2013,61.8,Magueyes Is.
2014,97.0,Magueyes Is.
