year,level_norm,city
1984,0.0,Mera
1985,-35.8,Mera
1986,-15.5,Mera
1987,41.7,Mera
1988,15.0,Mera
1989,-11.1,Mera
1990,26.8,Mera
1991,44.3,Mera
1992,46.9,Mera
1993,18.1,Mera
1994,40.5,Mera
1995,53.6,Mera
1996,15.7,Mera
1997,46.1,Mera
1998,56.6,Mera
1999,105.1,Mera
2000,111.1,Mera
2001,112.3,Mera
2002,100.7,Mera
2003,112.8,Mera
2004,128.6,Mera
2005,98.3,Mera
2006,75.4,Mera
2007,116.3,Mera
2008,125.8,Mera
2009,132.4,Mera
2010,151.9,Mera
2011,149.4,Mera
2012,173.5,Mera
2013,175.4,Mera
2014,129.6,Mera
