year,level_norm,city
1984,0.0,Midway Is. (Sand Is.)
1985,-46.3,Midway Is. (Sand Is.)
1986,-13.8,Midway Is. (Sand Is.)
1987,-21.5,Midway Is. (Sand Is.)
1988,-53.6,Midway Is. (Sand Is.)
1989,-32.8,Midway Is. (Sand Is.)
1990,-21.6,Midway Is. (Sand Is.)
1991,-5.1,Midway Is. (Sand Is.)
1992,-25.3,Midway Is. (Sand Is.)
1993,-49.5,Midway Is. (Sand Is.)
1994,-17.6,Midway Is. (Sand Is.)
1995,8.7,Midway Is. (Sand Is.)
1996,-20.7,Midway Is. (Sand Is.)
1997,-90.5,Midway Is. (Sand Is.)
1998,23.2,Midway Is. (Sand Is.)
1999,4.6,Midway Is. (Sand Is.)
2000,50.1,Midway Is. (Sand Is.)
2001,33.4,Midway Is. (Sand Is.)
2002,27.2,Midway Is. (Sand Is.)
2003,39.3,Midway Is. (Sand Is.)
2004,41.8,Midway Is. (Sand Is.)
2005,-16.4,Midway Is. (Sand Is.)
2006,13.9,Midway Is. (Sand Is.)
2007,9.5,Midway Is. (Sand Is.)
2008,59.9,Midway Is. (Sand Is.)
2009,70.9,Midway Is. (Sand Is.)
2010,62.9,Midway Is. (Sand Is.)
2011,-12.1,Midway Is. (Sand Is.)
2012,109.3,Midway Is. (Sand Is.)
2013,69.9,Midway Is. (Sand Is.)
2014,82.1,Midway Is. (Sand Is.)
