year,level_norm,city
1984,0.0,Mokuoloe Is.
1985,-22.7,Mokuoloe Is.
1986,-87.9,Mokuoloe Is.
1987,-66.6,Mokuoloe Is.
1988,20.0,Mokuoloe Is.
1989,-36.8,Mokuoloe Is.
1990,-73.6,Mokuoloe Is.
1991,-17.6,Mokuoloe Is.
1992,2.7,Mokuoloe Is.
1993,-13.8,Mokuoloe Is.
1994,-18.7,Mokuoloe Is.
1995,24.6,Mokuoloe Is.
1996,23.1,Mokuoloe Is.
1997,12.8,Mokuoloe Is.
1998,-58.3,Mokuoloe Is.
1999,-31.5,Mokuoloe Is.
2000,-59.4,Mokuoloe Is.
2001,-32.5,Mokuoloe Is.
2002,-30.8,Mokuoloe Is.
2003,40.6,Mokuoloe Is.
2004,44.2,Mokuoloe Is.
2005,5.8,Mokuoloe Is.
2006,40.2,Mokuoloe Is.
2007,2.6,Mokuoloe Is.
2008,11.2,Mokuoloe Is.
2009,-38.6,Mokuoloe Is.
2010,-13.0,Mokuoloe Is.
2011,-13.4,Mokuoloe Is.
2012,-15.0,Mokuoloe Is.
2013,-4.0,Mokuoloe Is.
2014,14.9,Mokuoloe Is.
