year,level_norm,city
1984,0.0,Monterey Harbor
1985,-35.0,Monterey Harbor
1986,-1.3,Monterey Harbor
1987,8.1,Monterey Harbor
1988,-49.3,Monterey Harbor
1989,-38.4,Monterey Harbor
1990,-17.6,Monterey Harbor
1991,-9.0,Monterey Harbor
1992,58.4,Monterey Harbor
1993,27.0,Monterey Harbor
1994,-20.3,Monterey Harbor
1995,2.8,Monterey Harbor
1996,-27.0,Monterey Harbor
1997,43.6,Monterey Harbor
1998,17.7,Monterey Harbor
1999,-65.9,Monterey Harbor
2000,-37.0,Monterey Harbor
2001,-29.0,Monterey Harbor
2002,-14.2,Monterey Harbor
2003,-2.9,Monterey Harbor
2004,3.2,Monterey Harbor
2005,17.4,Monterey Harbor
2006,13.8,Monterey Harbor
2007,-40.1,Monterey Harbor
2008,-11.4,Monterey Harbor
2009,0.3,Monterey Harbor
2010,-0.3,Monterey Harbor
2011,-11.0,Monterey Harbor
2012,-2.6,Monterey Harbor
2013,-13.8,Monterey Harbor
2014,70.2,Monterey Harbor
