year,level_norm,city
1984,0.0,Nantucket Is.
1985,-15.5,Nantucket Is.
1986,-17.5,Nantucket Is.
1987,8.7,Nantucket Is.
1988,-30.5,Nantucket Is.
1989,-47.3,Nantucket Is.
1990,-43.0,Nantucket Is.
1991,5.2,Nantucket Is.
1992,7.8,Nantucket Is.
1993,20.7,Nantucket Is.
1994,-32.8,Nantucket Is.
1995,-2.8,Nantucket Is.
1996,38.6,Nantucket Is.
1997,44.2,Nantucket Is.
1998,54.2,Nantucket Is.
1999,13.4,Nantucket Is.
2000,19.2,Nantucket Is.
2001,20.3,Nantucket Is.
2002,11.3,Nantucket Is.
2003,17.8,Nantucket Is.
2004,25.1,Nantucket Is.
2005,81.5,Nantucket Is.
2006,60.3,Nantucket Is.
2007,30.6,Nantucket Is.
2008,52.8,Nantucket Is.
2009,92.1,Nantucket Is.
2010,148.3,Nantucket Is.
2011,107.6,Nantucket Is.
2012,103.7,Nantucket Is.
2013,97.3,Nantucket Is.
2014,93.7,Nantucket Is.
