year,level_norm,city
1984,0.0,Nawiliwili Bay
1985,4.4,Nawiliwili Bay
1986,-69.2,Nawiliwili Bay
1987,-100.2,Nawiliwili Bay
1988,8.5,Nawiliwili Bay
1989,-23.1,Nawiliwili Bay
1990,-49.8,Nawiliwili Bay
1991,-27.8,Nawiliwili Bay
1992,1.7,Nawiliwili Bay
1993,-9.9,Nawiliwili Bay
1994,-28.3,Nawiliwili Bay
1995,12.4,Nawiliwili Bay
1996,36.7,Nawiliwili Bay
1997,-5.6,Nawiliwili Bay
1998,-78.6,Nawiliwili Bay
1999,-22.9,Nawiliwili Bay
2000,-42.8,Nawiliwili Bay
2001,-48.6,Nawiliwili Bay
2002,-34.3,Nawiliwili Bay
2003,19.1,Nawiliwili Bay
2004,10.8,Nawiliwili Bay
2005,6.0,Nawiliwili Bay
2006,54.2,Nawiliwili Bay
2007,4.8,Nawiliwili Bay
2008,21.6,Nawiliwili Bay
2009,-33.4,Nawiliwili Bay
2010,-31.8,Nawiliwili Bay
2011,-0.7,Nawiliwili Bay
2012,-4.1,Nawiliwili Bay
2013,19.5,Nawiliwili Bay
2014,35.9,Nawiliwili Bay
