year,level_norm,city
1984,0.0,New London
1985,-29.5,New London
1986,-35.8,New London
1987,-8.6,New London
1988,-42.7,New London
1989,-52.6,New London
1990,-45.1,New London
1991,-7.3,New London
1992,-2.8,New London
1993,14.2,New London
1994,-41.3,New London
1995,-6.9,New London
1996,62.2,New London
1997,51.6,New London
1998,74.2,New London
1999,30.3,New London
2000,8.7,New London
2001,20.9,New London
2002,8.0,New London
2003,38.9,New London
2004,32.3,New London
2005,86.9,New London
2006,69.3,New London
2007,35.2,New London
2008,61.9,New London
2009,93.9,New London
2010,136.3,New London
2011,123.3,New London
2012,97.1,New London
2013,67.9,New London
2014,76.9,New London
