year,level_norm,city
1984,0.0,New York
1985,-71.2,New York
1986,-27.5,New York
1987,-3.5,New York
1988,-58.1,New York
1989,-71.3,New York
1990,-84.0,New York
1991,-17.0,New York
1992,-10.2,New York
1993,22.7,New York
1994,-55.6,New York
1995,-4.3,New York
1996,23.8,New York
1997,135.0,New York
1998,67.6,New York
1999,15.7,New York
2000,25.4,New York
2001,29.0,New York
2002,-13.0,New York
2003,22.9,New York
2004,45.3,New York
2005,83.0,New York
2006,58.3,New York
2007,7.1,New York
2008,60.6,New York
2009,89.1,New York
2010,125.0,New York
2011,121.9,New York
2012,95.9,New York
2013,63.1,New York
2014,83.5,New York
