year,level_norm,city
1984,0.0,Ny-Alesund
1985,-30.6,Ny-Alesund
1986,-58.7,Ny-Alesund
1987,-88.0,Ny-Alesund
1988,-177.0,Ny-Alesund
1989,105.9,Ny-Alesund
1990,42.6,Ny-Alesund
1991,-43.8,Ny-Alesund
1992,-23.2,Ny-Alesund
1993,-28.5,Ny-Alesund
1994,-12.5,Ny-Alesund
1995,-47.2,Ny-Alesund
1996,-67.0,Ny-Alesund
1997,-57.5,Ny-Alesund
1998,-92.9,Ny-Alesund
1999,-77.0,Ny-Alesund
2000,-105.2,Ny-Alesund
2001,-117.4,Ny-Alesund
2002,-109.2,Ny-Alesund
2003,-67.4,Ny-Alesund
2004,-57.6,Ny-Alesund
2005,-87.1,Ny-Alesund
2006,-94.2,Ny-Alesund
2007,-114.4,Ny-Alesund
2008,-159.9,Ny-Alesund
2009,-146.5,Ny-Alesund
2010,-174.0,Ny-Alesund
2011,-116.5,Ny-Alesund
2012,-175.9,Ny-Alesund
2013,-209.9,Ny-Alesund
2014,-234.2,Ny-Alesund
