year,level_norm,city
1984,0.0,Ofunato
1985,-8.4,Ofunato
1986,4.8,Ofunato
1987,12.7,Ofunato
1988,-8.7,Ofunato
1989,-11.5,Ofunato
1990,22.5,Ofunato
1991,41.6,Ofunato
1992,27.6,Ofunato
1993,30.7,Ofunato
1994,45.3,Ofunato
1995,79.8,Ofunato
1996,57.6,Ofunato
1997,86.8,Ofunato
1998,66.8,Ofunato
1999,93.2,Ofunato
2000,98.8,Ofunato
2001,68.7,Ofunato
2002,86.1,Ofunato
2003,69.9,Ofunato
2004,102.7,Ofunato
2005,104.4,Ofunato
2006,88.0,Ofunato
2007,126.3,Ofunato
2008,98.1,Ofunato
2009,129.2,Ofunato
2010,147.8,Ofunato
2011,90.4,Ofunato
2012,141.1,Ofunato
2013,30.9,Ofunato
2014,-30.6,Ofunato
