year,level_norm,city
1984,0.0,Pago Pago
1985,54.8,Pago Pago
1986,36.2,Pago Pago
1987,-47.3,Pago Pago
1988,-23.6,Pago Pago
1989,10.8,Pago Pago
1990,19.6,Pago Pago
1991,48.2,Pago Pago
1992,-4.3,Pago Pago
1993,7.5,Pago Pago
1994,13.5,Pago Pago
1995,32.3,Pago Pago
1996,88.7,Pago Pago
1997,36.7,Pago Pago
1998,-165.5,Pago Pago
1999,75.8,Pago Pago
2000,63.3,Pago Pago
2001,79.7,Pago Pago
2002,64.9,Pago Pago
2003,74.7,Pago Pago
2004,105.6,Pago Pago
2005,62.3,Pago Pago
2006,109.0,Pago Pago
2007,90.5,Pago Pago
2008,83.4,Pago Pago
2009,86.1,Pago Pago
2010,113.7,Pago Pago
2011,229.6,Pago Pago
2012,208.6,Pago Pago
2013,192.7,Pago Pago
2014,207.0,Pago Pago
