year,level_norm,city
1984,0.0,Papeete
1985,21.9,Papeete
1986,8.7,Papeete
1987,-25.1,Papeete
1988,-16.9,Papeete
1989,-16.2,Papeete
1990,-2.1,Papeete
1991,-8.0,Papeete
1992,1.7,Papeete
1993,10.9,Papeete
1994,-13.5,Papeete
1995,16.2,Papeete
1996,18.6,Papeete
1997,-13.1,Papeete
1998,-45.9,Papeete
1999,75.5,Papeete
2000,18.7,Papeete
2001,9.4,Papeete
2002,24.1,Papeete
2003,39.0,Papeete
2004,41.0,Papeete
2005,2.3,Papeete
2006,54.0,Papeete
2007,28.4,Papeete
2008,4.2,Papeete
2009,11.7,Papeete
2010,-12.9,Papeete
2011,29.6,Papeete
2012,26.5,Papeete
2013,17.6,Papeete
2014,71.6,Papeete
