year,level_norm,city
1984,0.0,Penrhyn
1985,92.4,Penrhyn
1986,93.3,Penrhyn
1987,125.9,Penrhyn
1988,94.7,Penrhyn
1989,33.7,Penrhyn
1990,121.4,Penrhyn
1991,142.2,Penrhyn
1992,112.2,Penrhyn
1993,111.7,Penrhyn
1994,140.9,Penrhyn
1995,153.0,Penrhyn
1996,88.9,Penrhyn
1997,126.0,Penrhyn
1998,39.9,Penrhyn
1999,54.9,Penrhyn
2000,59.4,Penrhyn
2001,114.5,Penrhyn
2002,163.0,Penrhyn
2003,171.2,Penrhyn
2004,140.1,Penrhyn
2005,179.5,Penrhyn
2006,92.1,Penrhyn
2007,131.8,Penrhyn
2008,67.0,Penrhyn
2009,100.5,Penrhyn
2010,156.5,Penrhyn
2011,56.1,Penrhyn
2012,89.3,Penrhyn
2013,168.4,Penrhyn
2014,205.0,Penrhyn
