year,level_norm,city
1984,0.0,Pensacola
1985,7.3,Pensacola
1986,4.2,Pensacola
1987,-28.9,Pensacola
1988,-60.1,Pensacola
1989,-48.4,Pensacola
1990,-3.3,Pensacola
1991,9.2,Pensacola
1992,2.1,Pensacola
1993,-38.2,Pensacola
1994,-0.4,Pensacola
1995,15.2,Pensacola
1996,-8.9,Pensacola
1997,6.9,Pensacola
1998,38.4,Pensacola
1999,34.3,Pensacola
2000,-6.2,Pensacola
2001,-5.6,Pensacola
2002,12.2,Pensacola
2003,66.5,Pensacola
2004,-10.7,Pensacola
2005,58.3,Pensacola
2006,-7.7,Pensacola
2007,15.6,Pensacola
2008,39.3,Pensacola
2009,80.1,Pensacola
2010,58.8,Pensacola
2011,22.9,Pensacola
2012,94.9,Pensacola
2013,96.5,Pensacola
2014,80.6,Pensacola
