year,level_norm,city
1984,0.0,Rikitea
1985,51.1,Rikitea
1986,105.2,Rikitea
1987,77.0,Rikitea
1988,49.8,Rikitea
1989,86.3,Rikitea
1990,80.7,Rikitea
1991,90.4,Rikitea
1992,59.2,Rikitea
1993,50.8,Rikitea
1994,75.1,Rikitea
1995,87.2,Rikitea
1996,134.0,Rikitea
1997,105.8,Rikitea
1998,80.7,Rikitea
1999,120.2,Rikitea
2000,77.0,Rikitea
2001,81.9,Rikitea
2002,110.7,Rikitea
2003,95.1,Rikitea
2004,69.5,Rikitea
2005,125.0,Rikitea
2006,103.9,Rikitea
2007,96.1,Rikitea
2008,103.5,Rikitea
2009,125.5,Rikitea
2010,100.6,Rikitea
2011,132.3,Rikitea
2012,141.9,Rikitea
2013,84.7,Rikitea
2014,109.4,Rikitea
