year,level_norm,city
1984,0.0,Rockport
1985,-1.7,Rockport
1986,6.5,Rockport
1987,-25.2,Rockport
1988,-55.3,Rockport
1989,-46.0,Rockport
1990,15.9,Rockport
1991,55.7,Rockport
1992,49.9,Rockport
1993,24.3,Rockport
1994,35.5,Rockport
1995,98.1,Rockport
1996,34.7,Rockport
1997,95.8,Rockport
1998,144.5,Rockport
1999,117.9,Rockport
2000,89.5,Rockport
2001,109.4,Rockport
2002,186.5,Rockport
2003,148.5,Rockport
2004,162.3,Rockport
2005,166.3,Rockport
2006,97.4,Rockport
2007,209.1,Rockport
2008,180.5,Rockport
2009,160.7,Rockport
2010,194.8,Rockport
2011,143.4,Rockport
2012,191.9,Rockport
2013,210.6,Rockport
2014,184.3,Rockport
