year,level_norm,city
1984,0.0,Rorvik
1985,8.2,Rorvik
1986,18.6,Rorvik
1987,16.2,Rorvik
1988,167.4,Rorvik
1989,133.1,Rorvik
1990,103.7,Rorvik
1991,15.9,Rorvik
1992,50.6,Rorvik
1993,4.7,Rorvik
1994,22.2,Rorvik
1995,30.0,Rorvik
1996,-63.3,Rorvik
1997,21.8,Rorvik
1998,37.5,Rorvik
1999,46.8,Rorvik
2000,14.6,Rorvik
2001,7.1,Rorvik
2002,19.9,Rorvik
2003,19.0,Rorvik
2004,33.3,Rorvik
2005,32.9,Rorvik
2006,14.7,Rorvik
2007,76.0,Rorvik
2008,78.9,Rorvik
2009,53.2,Rorvik
2010,-64.2,Rorvik
2011,54.3,Rorvik
2012,-9.3,Rorvik
2013,8.1,Rorvik
2014,-18.6,Rorvik
