year,level_norm,city
1984,0.0,San Diego
1985,-47.6,San Diego
1986,-34.4,San Diego
1987,-19.3,San Diego
1988,-76.5,San Diego
1989,-60.5,San Diego
1990,-20.3,San Diego
1991,-17.6,San Diego
1992,37.7,San Diego
1993,15.9,San Diego
1994,-21.0,San Diego
1995,-21.6,San Diego
1996,-42.3,San Diego
1997,54.5,San Diego
1998,-6.0,San Diego
1999,-74.8,San Diego
2000,-59.7,San Diego
2001,-54.0,San Diego
2002,-41.2,San Diego
2003,-14.4,San Diego
2004,-2.8,San Diego
2005,-8.5,San Diego
2006,0.8,San Diego
2007,-40.3,San Diego
2008,-8.5,San Diego
2009,11.0,San Diego
2010,-3.8,San Diego
2011,-4.1,San Diego
2012,20.2,San Diego
2013,16.1,San Diego
2014,87.5,San Diego
