year,level_norm,city
1984,0.0,San Juan Puerto Rico
1985,20.3,San Juan Puerto Rico
1986,8.0,San Juan Puerto Rico
1987,-7.5,San Juan Puerto Rico
1988,-52.8,San Juan Puerto Rico
1989,-35.9,San Juan Puerto Rico
1990,-28.0,San Juan Puerto Rico
1991,28.9,San Juan Puerto Rico
1992,24.9,San Juan Puerto Rico
1993,4.9,San Juan Puerto Rico
1994,44.3,San Juan Puerto Rico
1995,-6.0,San Juan Puerto Rico
1996,-8.5,San Juan Puerto Rico
1997,15.6,San Juan Puerto Rico
1998,47.7,San Juan Puerto Rico
1999,-11.7,San Juan Puerto Rico
2000,-10.1,San Juan Puerto Rico
2001,49.8,San Juan Puerto Rico
2002,15.8,San Juan Puerto Rico
2003,60.8,San Juan Puerto Rico
2004,16.7,San Juan Puerto Rico
2005,28.1,San Juan Puerto Rico
2006,41.1,San Juan Puerto Rico
2007,53.2,San Juan Puerto Rico
2008,51.6,San Juan Puerto Rico
2009,4.3,San Juan Puerto Rico
2010,60.3,San Juan Puerto Rico
2011,37.0,San Juan Puerto Rico
2012,92.8,San Juan Puerto Rico
2013,52.6,San Juan Puerto Rico
2014,92.0,San Juan Puerto Rico
