year,level_norm,city
1984,0.0,Sand Point
1985,-101.2,Sand Point
1986,-17.5,Sand Point
1987,12.6,Sand Point
1988,14.1,Sand Point
1989,-111.2,Sand Point
1990,-95.3,Sand Point
1991,-47.7,Sand Point
1992,-32.9,Sand Point
1993,-41.8,Sand Point
1994,-54.2,Sand Point
1995,-6.6,Sand Point
1996,-104.3,Sand Point
1997,-2.0,Sand Point
1998,-4.3,Sand Point
1999,-80.1,Sand Point
2000,-45.6,Sand Point
2001,-18.5,Sand Point
2002,-28.9,Sand Point
2003,26.0,Sand Point
2004,4.3,Sand Point
2005,-23.3,Sand Point
2006,-22.8,Sand Point
2007,-47.8,Sand Point
2008,-37.6,Sand Point
2009,-44.8,Sand Point
2010,8.9,Sand Point
2011,-47.1,Sand Point
2012,-29.9,Sand Point
2013,-73.3,Sand Point
2014,52.6,Sand Point
