year,level_norm,city
1984,0.0,Santa Cruz Galapagos
1985,-19.3,Santa Cruz Galapagos
1986,32.6,Santa Cruz Galapagos
1987,92.7,Santa Cruz Galapagos
1988,-46.2,Santa Cruz Galapagos
1989,2.7,Santa Cruz Galapagos
1990,32.7,Santa Cruz Galapagos
1991,79.6,Santa Cruz Galapagos
1992,95.5,Santa Cruz Galapagos
1993,74.9,Santa Cruz Galapagos
1994,45.1,Santa Cruz Galapagos
1995,15.6,Santa Cruz Galapagos
1996,6.4,Santa Cruz Galapagos
1997,241.9,Santa Cruz Galapagos
1998,111.6,Santa Cruz Galapagos
1999,11.9,Santa Cruz Galapagos
2000,25.3,Santa Cruz Galapagos
2001,38.3,Santa Cruz Galapagos
2002,102.4,Santa Cruz Galapagos
2003,55.2,Santa Cruz Galapagos
2004,58.3,Santa Cruz Galapagos
2005,50.9,Santa Cruz Galapagos
2006,97.1,Santa Cruz Galapagos
2007,9.3,Santa Cruz Galapagos
2008,56.5,Santa Cruz Galapagos
2009,77.3,Santa Cruz Galapagos
2010,29.1,Santa Cruz Galapagos
2011,50.7,Santa Cruz Galapagos
2012,77.4,Santa Cruz Galapagos
2013,53.8,Santa Cruz Galapagos
2014,117.0,Santa Cruz Galapagos
