year,level_norm,city
1984,0.0,Santa Monica
1985,20.6,Santa Monica
1986,57.0,Santa Monica
1987,71.6,Santa Monica
1988,8.1,Santa Monica
1989,14.9,Santa Monica
1990,3.7,Santa Monica
1991,31.7,Santa Monica
1992,151.5,Santa Monica
1993,73.3,Santa Monica
1994,58.8,Santa Monica
1995,73.1,Santa Monica
1996,54.0,Santa Monica
1997,142.2,Santa Monica
1998,86.6,Santa Monica
1999,-4.1,Santa Monica
2000,33.6,Santa Monica
2001,36.2,Santa Monica
2002,39.8,Santa Monica
2003,62.0,Santa Monica
2004,83.2,Santa Monica
2005,76.0,Santa Monica
2006,74.0,Santa Monica
2007,38.2,Santa Monica
2008,75.5,Santa Monica
2009,87.6,Santa Monica
2010,60.0,Santa Monica
2011,49.6,Santa Monica
2012,85.5,Santa Monica
2013,76.7,Santa Monica
2014,139.7,Santa Monica
