year,level_norm,city
1984,0.0,Seldovia
1985,-105.6,Seldovia
1986,-45.6,Seldovia
1987,10.4,Seldovia
1988,-13.3,Seldovia
1989,-149.2,Seldovia
1990,-144.0,Seldovia
1991,-109.7,Seldovia
1992,-79.9,Seldovia
1993,-139.3,Seldovia
1994,-138.6,Seldovia
1995,-137.3,Seldovia
1996,-228.0,Seldovia
1997,-133.2,Seldovia
1998,-142.6,Seldovia
1999,-198.0,Seldovia
2000,-207.0,Seldovia
2001,-170.8,Seldovia
2002,-219.5,Seldovia
2003,-178.2,Seldovia
2004,-223.2,Seldovia
2005,-192.5,Seldovia
2006,-200.7,Seldovia
2007,-278.1,Seldovia
2008,-262.1,Seldovia
2009,-321.8,Seldovia
2010,-254.8,Seldovia
2011,-296.6,Seldovia
2012,-283.1,Seldovia
2013,-378.4,Seldovia
2014,-267.8,Seldovia
