year,level_norm,city
1984,0.0,Seward
1985,-92.4,Seward
1986,-19.3,Seward
1987,43.5,Seward
1988,25.8,Seward
1989,-98.0,Seward
1990,-84.5,Seward
1991,-58.1,Seward
1992,4.2,Seward
1993,-63.3,Seward
1994,-53.3,Seward
1995,-62.8,Seward
1996,-159.3,Seward
1997,-50.3,Seward
1998,-67.7,Seward
1999,-98.4,Seward
2000,-101.4,Seward
2001,-59.7,Seward
2002,-105.7,Seward
2003,-77.3,Seward
2004,-130.1,Seward
2005,-79.2,Seward
2006,-81.4,Seward
2007,-146.8,Seward
2008,-146.7,Seward
2009,-202.9,Seward
2010,-95.0,Seward
2011,-168.6,Seward
2012,-141.1,Seward
2013,-221.6,Seward
2014,-119.2,Seward
