year,level_norm,city
1984,0.0,St. Petersburg
1985,10.1,St. Petersburg
1986,11.1,St. Petersburg
1987,9.5,St. Petersburg
1988,-19.6,St. Petersburg
1989,8.6,St. Petersburg
1990,11.5,St. Petersburg
1991,23.8,St. Petersburg
1992,2.1,St. Petersburg
1993,-4.2,St. Petersburg
1994,7.7,St. Petersburg
1995,40.9,St. Petersburg
1996,-14.3,St. Petersburg
1997,18.0,St. Petersburg
1998,20.1,St. Petersburg
1999,41.8,St. Petersburg
2000,20.8,St. Petersburg
2001,-14.8,St. Petersburg
2002,21.0,St. Petersburg
2003,51.6,St. Petersburg
2004,34.3,St. Petersburg
2005,54.3,St. Petersburg
2006,31.9,St. Petersburg
2007,44.0,St. Petersburg
2008,41.9,St. Petersburg
2009,73.0,St. Petersburg
2010,54.6,St. Petersburg
2011,49.0,St. Petersburg
2012,118.7,St. Petersburg
2013,88.4,St. Petersburg
2014,102.4,St. Petersburg
