year,level_norm,city
1984,0.0,Stockholm
1985,-2.3,Stockholm
1986,20.1,Stockholm
1987,-21.2,Stockholm
1988,45.0,Stockholm
1989,130.7,Stockholm
1990,133.7,Stockholm
1991,-20.9,Stockholm
1992,29.7,Stockholm
1993,-42.9,Stockholm
1994,-20.8,Stockholm
1995,30.8,Stockholm
1996,-170.5,Stockholm
1997,-31.1,Stockholm
1998,27.1,Stockholm
1999,-19.1,Stockholm
2000,3.9,Stockholm
2001,-45.1,Stockholm
2002,-71.8,Stockholm
2003,-71.0,Stockholm
2004,4.5,Stockholm
2005,-25.8,Stockholm
2006,-61.9,Stockholm
2007,78.3,Stockholm
2008,27.2,Stockholm
2009,-90.3,Stockholm
2010,-123.3,Stockholm
2011,-19.7,Stockholm
2012,15.3,Stockholm
2013,-118.8,Stockholm
2014,-143.8,Stockholm
