year,level_norm,city
1984,0.0,Taranaki
1985,44.3,Taranaki
1986,-4.0,Taranaki
1987,-23.0,Taranaki
1988,-8.7,Taranaki
1989,66.1,Taranaki
1990,17.6,Taranaki
1991,-0.9,Taranaki
1992,-24.9,Taranaki
1993,-98.5,Taranaki
1994,-102.2,Taranaki
1995,-71.1,Taranaki
1996,-11.7,Taranaki
1997,-48.8,Taranaki
1998,13.5,Taranaki
1999,21.1,Taranaki
2000,30.2,Taranaki
2001,62.3,Taranaki
2002,51.0,Taranaki
2003,28.1,Taranaki
2004,-26.3,Taranaki
2005,-23.7,Taranaki
2006,-52.5,Taranaki
2007,-45.4,Taranaki
2008,-40.4,Taranaki
2009,-51.3,Taranaki
2010,-64.1,Taranaki
2011,-21.1,Taranaki
2012,6.8,Taranaki
2013,7.9,Taranaki
2014,16.3,Taranaki
