year,level_norm,city
1984,0.0,Tofino
1985,-167.3,Tofino
1986,-80.7,Tofino
1987,-21.8,Tofino
1988,-121.0,Tofino
1989,-149.2,Tofino
1990,-131.5,Tofino
1991,-137.9,Tofino
1992,-67.5,Tofino
1993,-107.9,Tofino
1994,-139.2,Tofino
1995,-92.2,Tofino
1996,-82.0,Tofino
1997,-20.2,Tofino
1998,-50.9,Tofino
1999,-118.9,Tofino
2000,-143.9,Tofino
2001,-159.3,Tofino
2002,-144.7,Tofino
2003,-91.0,Tofino
2004,-113.1,Tofino
2005,-97.9,Tofino
2006,-89.1,Tofino
2007,-138.7,Tofino
2008,-158.0,Tofino
2009,-125.8,Tofino
2010,-63.8,Tofino
2011,-123.1,Tofino
2012,-83.1,Tofino
2013,-192.4,Tofino
2014,-75.5,Tofino
