year,level_norm,city
1984,0.0,Toke Point (Willapa Bay)
1985,-93.3,Toke Point (Willapa Bay)
1986,-10.8,Toke Point (Willapa Bay)
1987,-13.7,Toke Point (Willapa Bay)
1988,-58.0,Toke Point (Willapa Bay)
1989,-68.0,Toke Point (Willapa Bay)
1990,-20.8,Toke Point (Willapa Bay)
1991,-37.6,Toke Point (Willapa Bay)
1992,23.2,Toke Point (Willapa Bay)
1993,20.8,Toke Point (Willapa Bay)
1994,17.6,Toke Point (Willapa Bay)
1995,61.7,Toke Point (Willapa Bay)
1996,18.2,Toke Point (Willapa Bay)
1997,108.2,Toke Point (Willapa Bay)
1998,78.7,Toke Point (Willapa Bay)
1999,-3.5,Toke Point (Willapa Bay)
2000,-27.7,Toke Point (Willapa Bay)
2001,-28.6,Toke Point (Willapa Bay)
2002,-30.0,Toke Point (Willapa Bay)
2003,33.4,Toke Point (Willapa Bay)
2004,14.5,Toke Point (Willapa Bay)
2005,20.2,Toke Point (Willapa Bay)
2006,30.3,Toke Point (Willapa Bay)
2007,-17.3,Toke Point (Willapa Bay)
2008,-30.8,Toke Point (Willapa Bay)
2009,-10.2,Toke Point (Willapa Bay)
2010,9.0,Toke Point (Willapa Bay)
2011,-33.0,Toke Point (Willapa Bay)
2012,15.2,Toke Point (Willapa Bay)
2013,-98.5,Toke Point (Willapa Bay)
2014,-19.4,Toke Point (Willapa Bay)
