year,level_norm,city
1984,0.0,Tumaco
1985,-46.9,Tumaco
1986,-39.8,Tumaco
1987,74.2,Tumaco
1988,-33.5,Tumaco
1989,-5.1,Tumaco
1990,-100.4,Tumaco
1991,-156.6,Tumaco
1992,-108.5,Tumaco
1993,-54.0,Tumaco
1994,-73.2,Tumaco
1995,-86.1,Tumaco
1996,-128.4,Tumaco
1997,88.5,Tumaco
1998,-60.1,Tumaco
1999,-135.8,Tumaco
2000,-116.2,Tumaco
2001,-110.1,Tumaco
2002,-55.3,Tumaco
2003,-88.0,Tumaco
2004,-1.1,Tumaco
2005,-73.0,Tumaco
2006,-64.7,Tumaco
2007,-116.4,Tumaco
2008,-58.1,Tumaco
2009,12.5,Tumaco
2010,-48.5,Tumaco
2011,-40.8,Tumaco
2012,-0.3,Tumaco
2013,6.8,Tumaco
2014,-8.4,Tumaco
