year,level_norm,city
1984,0.0,Unalaska (Dutch Harbor)
1985,-62.3,Unalaska (Dutch Harbor)
1986,-38.0,Unalaska (Dutch Harbor)
1987,-19.2,Unalaska (Dutch Harbor)
1988,6.4,Unalaska (Dutch Harbor)
1989,-105.3,Unalaska (Dutch Harbor)
1990,-105.4,Unalaska (Dutch Harbor)
1991,-67.6,Unalaska (Dutch Harbor)
1992,-58.8,Unalaska (Dutch Harbor)
1993,-52.7,Unalaska (Dutch Harbor)
1994,-83.6,Unalaska (Dutch Harbor)
1995,-54.8,Unalaska (Dutch Harbor)
1996,-128.3,Unalaska (Dutch Harbor)
1997,-52.8,Unalaska (Dutch Harbor)
1998,-64.1,Unalaska (Dutch Harbor)
1999,-139.8,Unalaska (Dutch Harbor)
2000,-96.2,Unalaska (Dutch Harbor)
2001,-110.4,Unalaska (Dutch Harbor)
2002,-102.0,Unalaska (Dutch Harbor)
2003,-82.0,Unalaska (Dutch Harbor)
2004,-94.9,Unalaska (Dutch Harbor)
2005,-68.1,Unalaska (Dutch Harbor)
2006,-124.2,Unalaska (Dutch Harbor)
2007,-131.8,Unalaska (Dutch Harbor)
2008,-128.0,Unalaska (Dutch Harbor)
2009,-138.7,Unalaska (Dutch Harbor)
2010,-96.5,Unalaska (Dutch Harbor)
2011,-133.8,Unalaska (Dutch Harbor)
2012,-161.8,Unalaska (Dutch Harbor)
2013,-164.5,Unalaska (Dutch Harbor)
2014,-61.0,Unalaska (Dutch Harbor)
