year,level_norm,city
1984,0.0,Valdez
1985,-91.8,Valdez
1986,-27.9,Valdez
1987,21.8,Valdez
1988,27.9,Valdez
1989,-81.1,Valdez
1990,-70.0,Valdez
1991,-51.3,Valdez
1992,0.2,Valdez
1993,-51.2,Valdez
1994,-51.3,Valdez
1995,-67.0,Valdez
1996,-135.4,Valdez
1997,-43.3,Valdez
1998,-73.2,Valdez
1999,-96.0,Valdez
2000,-120.4,Valdez
2001,-89.6,Valdez
2002,-140.9,Valdez
2003,-125.7,Valdez
2004,-159.2,Valdez
2005,-124.4,Valdez
2006,-146.1,Valdez
2007,-192.5,Valdez
2008,-207.3,Valdez
2009,-242.5,Valdez
2010,-175.5,Valdez
2011,-241.0,Valdez
2012,-215.6,Valdez
2013,-301.1,Valdez
2014,-212.8,Valdez
