year,level_norm,city
1984,0.0,Valparaiso
1985,-99.9,Valparaiso
1986,-101.8,Valparaiso
1987,-64.1,Valparaiso
1988,-107.6,Valparaiso
1989,-136.0,Valparaiso
1990,-172.2,Valparaiso
1991,-99.5,Valparaiso
1992,-83.4,Valparaiso
1993,-77.4,Valparaiso
1994,-74.2,Valparaiso
1995,-115.3,Valparaiso
1996,-79.4,Valparaiso
1997,58.4,Valparaiso
1998,-31.4,Valparaiso
1999,-73.9,Valparaiso
2000,-56.4,Valparaiso
2001,-13.5,Valparaiso
2002,-16.4,Valparaiso
2003,-35.0,Valparaiso
2004,-3.9,Valparaiso
2005,-46.4,Valparaiso
2006,-38.2,Valparaiso
2007,-116.3,Valparaiso
2008,-93.0,Valparaiso
2009,-72.8,Valparaiso
2010,-97.6,Valparaiso
2011,-100.7,Valparaiso
2012,-20.3,Valparaiso
2013,-87.0,Valparaiso
2014,-121.5,Valparaiso
