year,level_norm,city
1984,0.0,Wake Is.
1985,-78.0,Wake Is.
1986,-155.9,Wake Is.
1987,-76.9,Wake Is.
1988,-58.9,Wake Is.
1989,-174.9,Wake Is.
1990,-108.1,Wake Is.
1991,-107.9,Wake Is.
1992,-143.1,Wake Is.
1993,-75.9,Wake Is.
1994,-67.6,Wake Is.
1995,-85.0,Wake Is.
1996,-60.4,Wake Is.
1997,-50.9,Wake Is.
1998,-60.1,Wake Is.
1999,-30.4,Wake Is.
2000,3.9,Wake Is.
2001,-77.1,Wake Is.
2002,-40.5,Wake Is.
2003,-79.8,Wake Is.
2004,-35.9,Wake Is.
2005,-73.1,Wake Is.
2006,-106.4,Wake Is.
2007,-31.8,Wake Is.
2008,-29.4,Wake Is.
2009,-81.7,Wake Is.
2010,-73.8,Wake Is.
2011,-52.8,Wake Is.
2012,7.0,Wake Is.
2013,-0.3,Wake Is.
2014,-49.2,Wake Is.
