year,level_norm,city
1984,0.0,Wakkanai
1985,4.5,Wakkanai
1986,26.9,Wakkanai
1987,51.0,Wakkanai
1988,13.3,Wakkanai
1989,29.7,Wakkanai
1990,45.9,Wakkanai
1991,59.2,Wakkanai
1992,33.7,Wakkanai
1993,49.1,Wakkanai
1994,58.4,Wakkanai
1995,58.3,Wakkanai
1996,25.8,Wakkanai
1997,44.4,Wakkanai
1998,22.9,Wakkanai
1999,75.2,Wakkanai
2000,59.5,Wakkanai
2001,45.0,Wakkanai
2002,79.7,Wakkanai
2003,49.6,Wakkanai
2004,111.6,Wakkanai
2005,70.9,Wakkanai
2006,57.9,Wakkanai
2007,68.5,Wakkanai
2008,49.9,Wakkanai
2009,77.8,Wakkanai
2010,102.0,Wakkanai
2011,85.4,Wakkanai
2012,77.8,Wakkanai
2013,110.0,Wakkanai
2014,86.6,Wakkanai
