year,level_norm,city
1984,0.0,Wellington Harbour
1985,45.2,Wellington Harbour
1986,103.9,Wellington Harbour
1987,32.7,Wellington Harbour
1988,52.8,Wellington Harbour
1989,113.2,Wellington Harbour
1990,136.5,Wellington Harbour
1991,89.2,Wellington Harbour
1992,63.0,Wellington Harbour
1993,28.5,Wellington Harbour
1994,57.9,Wellington Harbour
1995,64.3,Wellington Harbour
1996,89.0,Wellington Harbour
1997,56.9,Wellington Harbour
1998,88.9,Wellington Harbour
1999,122.3,Wellington Harbour
2000,124.8,Wellington Harbour
2001,119.9,Wellington Harbour
2002,114.4,Wellington Harbour
2003,117.2,Wellington Harbour
2004,121.1,Wellington Harbour
2005,113.7,Wellington Harbour
2006,117.4,Wellington Harbour
2007,108.5,Wellington Harbour
2008,136.3,Wellington Harbour
2009,123.5,Wellington Harbour
2010,111.0,Wellington Harbour
2011,138.9,Wellington Harbour
2012,145.7,Wellington Harbour
2013,176.3,Wellington Harbour
2014,173.6,Wellington Harbour
