year,level_norm,city
1984,0.0,Wilmington
1985,-37.1,Wilmington
1986,-43.6,Wilmington
1987,-38.2,Wilmington
1988,-84.6,Wilmington
1989,-39.1,Wilmington
1990,-44.8,Wilmington
1991,-0.3,Wilmington
1992,-6.7,Wilmington
1993,0.8,Wilmington
1994,-31.4,Wilmington
1995,45.4,Wilmington
1996,3.9,Wilmington
1997,-4.4,Wilmington
1998,22.7,Wilmington
1999,55.1,Wilmington
2000,15.9,Wilmington
2001,-36.3,Wilmington
2002,-24.5,Wilmington
2003,17.3,Wilmington
2004,-41.6,Wilmington
2005,9.2,Wilmington
2006,-2.2,Wilmington
2007,-27.9,Wilmington
2008,-17.5,Wilmington
2009,29.8,Wilmington
2010,14.4,Wilmington
2011,-12.4,Wilmington
2012,33.1,Wilmington
2013,35.5,Wilmington
2014,105.8,Wilmington
