year,level_norm,city
1984,0.0,Yakutat
1985,-107.7,Yakutat
1986,-38.8,Yakutat
1987,17.2,Yakutat
1988,-49.5,Yakutat
1989,-155.7,Yakutat
1990,-138.1,Yakutat
1991,-141.2,Yakutat
1992,-89.9,Yakutat
1993,-163.1,Yakutat
1994,-124.6,Yakutat
1995,-149.3,Yakutat
1996,-192.7,Yakutat
1997,-130.5,Yakutat
1998,-187.7,Yakutat
1999,-192.6,Yakutat
2000,-222.3,Yakutat
2001,-195.6,Yakutat
2002,-271.0,Yakutat
2003,-246.5,Yakutat
2004,-282.7,Yakutat
2005,-251.3,Yakutat
2006,-298.1,Yakutat
2007,-351.1,Yakutat
2008,-382.4,Yakutat
2009,-416.4,Yakutat
2010,-349.4,Yakutat
2011,-417.7,Yakutat
2012,-417.7,Yakutat
2013,-519.4,Yakutat
2014,-425.9,Yakutat
