year,level_norm,city
1984,0.0,Zanzibar
1985,-16.6,Zanzibar
1986,-31.2,Zanzibar
1987,-13.2,Zanzibar
1988,4.1,Zanzibar
1989,-56.6,Zanzibar
1990,-7.4,Zanzibar
1991,4.0,Zanzibar
1992,-58.0,Zanzibar
1993,-54.5,Zanzibar
1994,-61.6,Zanzibar
1995,-39.7,Zanzibar
1996,-68.0,Zanzibar
1997,-82.1,Zanzibar
1998,-12.7,Zanzibar
1999,-55.5,Zanzibar
2000,-95.1,Zanzibar
2001,-107.2,Zanzibar
2002,-79.5,Zanzibar
2003,-53.4,Zanzibar
2004,-45.7,Zanzibar
2005,-49.9,Zanzibar
2006,-44.0,Zanzibar
2007,1.9,Zanzibar
2008,-16.3,Zanzibar
2009,-14.9,Zanzibar
2010,19.0,Zanzibar
2011,20.0,Zanzibar
2012,-14.9,Zanzibar
2013,-1.6,Zanzibar
2014,24.1,Zanzibar
